Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,143,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,255,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,321,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,348,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,4,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,36,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,115,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,369,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,698,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,955,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,1024,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,0,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,10,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,24,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,63,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,165,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,263,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,291,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,0,
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,5,
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,21,
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,51,
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,117,
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,176,
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,189,
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,195,
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,27,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,134,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,408,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,1034,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,1655,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,2248,0.1
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"White, non-Latinx",All Sexes,37776,2369,0.1
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,6,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,97,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,217,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,402,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,691,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,962,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,1235,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,1298,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,1,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,11,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,24,0.0
